country,survey_year,welfare_type,gini__PIP,gini__PIP_consinc,gini__PIP_top1only,gini__PIP_topadj,top10_share__PIP,top10_share__PIP_consinc,top10_share__PIP_top1only,top10_share__PIP_topadj,top1_share__PIP,top1_share__PIP_consinc,top1_share__PIP_top1only,top1_share__PIP_topadj,top1_adjusted
Philippines,2021,consumption,0.372295,0.489232,0.454184,0.552422,29.4036,37.6136,38.6463,45.4442,6.57511,9.73223,15.1422,15.1422,True
Poland,2022,income,0.288341,0.288341,0.366704,0.366704,23.1223,23.1223,31.6162,31.6162,4.26156,4.26156,12.7699,12.7699,True
Portugal,2022,income,0.362118,0.362118,0.395771,0.395771,28.7461,28.7461,32.4264,32.4264,6.18218,6.18218,7.36931,7.36931,True
Qatar,2017,income,0.351205,0.351205,0.486783,0.486783,25.7647,25.7647,41.3927,41.3927,3.90177,3.90177,22.8558,22.8558,True
Romania,2022,income,0.3228,0.3228,0.399836,0.399836,22.6332,22.6332,31.4979,31.4979,3.66361,3.66361,13.2658,13.2658,True
Russia,2022,income,0.338556,0.338556,0.48026,0.48026,26.1514,26.1514,42.1254,42.1254,4.97889,4.97889,23.3277,23.3277,True
Rwanda,2023,consumption,0.398146,0.522446,0.494808,0.595391,33.668,42.8411,44.4529,51.8249,9.38304,13.6149,18.2629,18.2629,True
Sao Tome and Principe,2017,consumption,0.406139,0.521684,0.487603,0.583717,32.7081,41.3448,42.0145,49.1311,7.69374,11.1889,15.9762,15.9762,True
Senegal,2021,consumption,0.366478,0.484668,0.435396,0.537239,29.3047,37.5467,37.0176,44.0187,6.36674,9.4446,12.9604,12.9604,True
Serbia,2022,income,0.326884,0.326884,0.408967,0.408967,24.6016,24.6016,33.8772,33.8772,5.14212,5.14212,14.0973,14.0973,True
Seychelles,2018,income,0.325214,0.325214,0.36435,0.36435,24.3865,24.3865,28.7459,28.7459,4.30012,4.30012,7.72647,7.72647,True
Sierra Leone,2018,consumption,0.356423,0.480359,0.439117,0.543563,29.3703,37.8815,38.481,45.5577,7.02633,10.438,14.8744,14.8744,True
Slovakia,2022,income,0.240637,0.240637,0.271124,0.271124,18.2262,18.2262,21.4995,21.4995,2.59968,2.59968,5.63074,5.63074,True
Slovenia,2022,income,0.242814,0.242814,0.280024,0.280024,20.6786,20.6786,24.5258,24.5258,3.64971,3.64971,6.5346,6.5346,True
South Africa,2022,consumption,0.546388,0.635898,0.605942,0.680077,42.6114,50.7898,50.1475,56.9175,9.21944,12.698,16.3412,16.3412,True
South Korea,2021,income,0.32608,0.32608,0.392604,0.392604,24.7099,24.7099,32.1499,32.1499,4.57294,4.57294,11.7819,11.7819,True
Spain,2022,income,0.335609,0.335609,0.387234,0.387234,24.7541,24.7541,30.57,30.57,4.35366,4.35366,9.7314,9.7314,True
Sri Lanka,2019,consumption,0.376222,0.498144,0.486165,0.583074,30.823,39.4829,43.1301,49.9361,7.74026,11.3919,19.7128,19.7128,True
Suriname,2022,consumption,0.391113,0.502346,0.502929,0.590457,30.0234,38.2536,43.0506,49.4503,7.20547,10.5695,20.517,20.517,True
Sweden,2022,income,0.313342,0.313342,0.313342,0.313342,24.3972,24.3972,24.3972,24.3972,6.9404,6.9404,6.9404,6.9404,False
Switzerland,2022,income,0.336619,0.336619,0.336619,0.336619,26.462,26.462,26.462,26.462,6.5798,6.5798,6.5798,6.5798,False
Syria,2022,consumption,0.263633,0.381715,0.399094,0.492568,20.9207,27.6082,35.5523,40.6837,3.00017,4.68244,20.0402,20.0402,True
Taiwan,2021,income,0.312209,0.312209,0.415838,0.415838,25.32,25.32,36.6346,36.6346,4.99518,4.99518,16.898,16.898,True
Tajikistan,2022,consumption,0.394305,0.512235,0.467465,0.512235,31.28,40.1083,39.723,40.1083,10.0014,14.5556,14.2876,14.5556,True
Tanzania,2018,consumption,0.404339,0.524439,0.492838,0.591407,33.0931,41.9839,43.1247,50.3613,8.8922,12.9084,17.0987,17.0987,True
Thailand,2022,consumption,0.342789,0.459689,0.443305,0.539075,26.5313,34.2397,37.8112,44.0024,5.17816,7.78946,17.2475,17.2475,True
